,Alloy System,Composition,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References
179,,AlCoCrFeMo0.4Ni,AC,SS+IM,BCC+IM,6.0,2,"DSC, M",43
180,,AlCoCrFeMo0.5Ni,AC,SS+IM,BCC+IM,6.0,2,"DSC, M",43
181,,,AC,SS+IM,BCC+σ,6.0,2,"H, W",42
182,,,AC,SS+IM,BCC+σ,6.0,2,H,40
183,,AlCoCrFe1.5Mo0.5Ni,AC,SS+IM,BCC+σ,6.0,2,"H, W",42
184,,AlCoCrFe2Mo0.5Ni,AC,SS+IM,BCC+σ,6.0,2,"H, W",42
185,,AlCoCr1.5FeMo0.5Ni,AC,IM,B2+σ,6.0,2,H,41
186,,AlCoCr2FeMo0.5Ni,AC,IM,B2+σ,6.0,2,H,41
187,,AlCo1.5CrFeMo0.5Ni,AC,SS+IM,BCC+B2+σ,6.0,3,H,40
188,,AlCo2CrFeMo0.5Ni,AC,SS+IM,BCC+FCC+σ,6.0,3,H,40
189,AlCoCrFeNbNi,AlCoCrFeNb0.1Ni,AC,SS+IM,BCC+C14,6.0,2,"H, M, MAG",44
190,,,AC,SS,BCC,6.0,1,"M, MAG",45
191,,AlCoCrFeNb0.25Ni,AC,SS+IM,BCC+C14,6.0,2,"H, M, MAG",44
192,,,AC,SS+IM,BCC+C14,6.0,2,"M, MAG",45
193,,AlCoCrFeNb0.5Ni,AC,SS+IM,BCC+C14,6.0,2,"H, M, MAG",44
194,,,AC,SS+IM,BCC+C14,6.0,2,"M, MAG",45
195,,AlCoCrFeNb0.75Ni,AC,SS+IM,BCC+C14,6.0,2,"H, M, MAG",44
196,,,AC,SS+IM,BCC+C14,6.0,2,"M, MAG",45
197,AlCoCrFeNi,Al0.1CoCrFeNi,AC,SS,FCC,5.0,1,H,46
198,,Al0.25CoCrFeNi,AC,SS,FCC,5.0,1,H,47
199,,,AC+1100C/24h/WQ,SS,FCC,5.0,1,H,47
200,,,AC+1100C/24h/WQ+CR(50%),SS,FCC,5.0,1,H,47
201,,,AC+1100C/24h/WQ,SS,FCC,5.0,1,"CTE, D, R",48
202,,Al0.3CoCrFeNi,AC,SS+IM,FCC+L12,5.0,2,MT,49
203,,,AC+700C/72h/WQ,SS+IM,FCC+L12,5.0,2,MT,49
204,,,AC+900C/72h/WQ,SS+IM,FCC+B2,5.0,2,MT,49
205,,,AC,SS+IM,FCC+L12,5.0,2,,38
206,,,AC,SS,FCC,5.0,1,H,39
207,,,AC+700C/144h/WQ,SS+IM,FCC+B2,5.0,2,H,39
208,,,AC,SS,FCC,5.0,1,H,46
209,,,AC+700C/20h,SS,FCC,5.0,1,H,37
210,,Al0.3CoCr2FeNi,AC+700C/20h,SS+IM,BCC+FCC+σ,5.0,3,H,37
211,,Al0.375CoCrFeNi,AC,SS,FCC,5.0,1,H,47
212,,,AC+1100C/24h/WQ,SS,FCC,5.0,1,H,47
213,,,AC+1100C/24h/WQ+CR(50%),SS,FCC,5.0,1,H,47
214,,,AC+1100C/24h/WQ,SS,FCC,5.0,1,"CTE, D, R",48
215,,Al0.4CoCrFeNi,AC,SS,FCC,5.0,1,H,46
216,,Al0.44CoCrFeNi,AC,SS+IM,FCC+B2+Unk,5.0,3,OX,50
217,,Al0.5CoCrFeNi,AC,SS,2FCC,5.0,2,,24
218,,,AC,SS,BCC+FCC,5.0,2,H,47
219,,,AC+1100C/24h/WQ,SS,BCC+FCC,5.0,2,H,47
220,,,AC+1100C/24h/WQ+CR(50%),SS,BCC+FCC,5.0,2,H,47
221,,,AC+1100C/24h/WQ,SS,BCC+FCC,5.0,2,"CTE, D, R",48
222,,,AC,SS,BCC+FCC,5.0,2,"H, C",51
223,,,AC+350C/24h/WQ,SS,2BCC+FCC,5.0,3,"H, C",51
224,,,AC+500C/24h/WQ,SS,2BCC+FCC,5.0,3,"H, C",51
225,,,AC+650C/24h/WQ,SS,2BCC+FCC,5.0,3,"H, C",51
226,,,AC+800C/24h/WQ,SS,2BCC+FCC,5.0,3,"H, C",51
227,,,AC+950C/24h/WQ,SS,2BCC+FCC,5.0,3,"H, C",51
228,,,AC,SS,BCC+FCC,5.0,2,H,46
229,,Al0.7CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5.0,3,H,46
230,,Al0.75CoCrFeNi,AC+1100C/24h/WQ,SS+IM,FCC+B2,5.0,2,"CTE, D, R",48
231,,,AC,SS,BCC+FCC,5.0,2,H,47
232,,,AC+1100C/24h/WQ,SS,BCC+FCC,5.0,2,H,47
233,,,AC+1100C/24h/WQ+CR(50%),SS,BCC+FCC,5.0,2,H,47
234,,Al0.8CoCrFeNi,AC,SS+IM,BCC+FCC+B2,5.0,3,H,46
235,,Al0.875CoCrFeNi,AC,SS,BCC,5.0,1,H,47
236,,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5.0,2,H,47
237,,,AC+1100C/24h/WQ+CR(50%),SS+IM,FCC+B2,5.0,2,H,47
238,,,AC+1100C/24h/WQ,SS,BCC+FCC,5.0,2,"CTE, D, R",48
239,,Al0.9CoCrFeNi,AC,SS+IM,BCC+B2,5.0,2,H,46
240,,AlCoCrFeNi,AC,IM,B2,5.0,1,M,52
241,,,AC,SS+IM,BCC+B2,5.0,2,M,53
242,,,AC,IM,B2+L12,5.0,2,,54
243,,,AC,IM,B2,5.0,1,M,7
244,,,AC,IM,B2,5.0,1,H,47
245,,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5.0,2,H,47
246,,,AC,SS,BCC,5.0,1,M,55
247,,,AC+1100C/24h/WQ,SS+IM,FCC+B2,5.0,2,"CTE, D, R",48
248,,,AC,SS,BCC,5.0,1,"DSC, M",43
249,,,AC,SS+IM,FCC+B2,5.0,2,"H,D",56
250,,,AC,SS,BCC,5.0,1,M,57
251,,,AC,SS,BCC,5.0,1,M,58
252,,,AC,SS,BCC,5.0,1,"H, M, MAG",44
253,,,AC,SS+IM,BCC+B2,5.0,2,M,59
254,,,AC+Bridgman,SS+IM,BCC+B2,5.0,2,M,59
255,,,AC,SS,BCC,5.0,1,"M, MAG",45
256,,,AC,SS+IM,BCC+B2,5.0,2,"H, M, MAG",44
257,,,AC,SS+IM,BCC+B2,5.0,2,H,46
258,,AlCoCrFeNi2.1,AC,SS+IM,FCC+B2,5.0,2,"DSC, MT",60
259,,AlCoCr2FeNi,AC,IM,B2+L12,5.0,2,,54
260,,Al1.2CoCrFeNi,AC,SS+IM,BCC+B2,5.0,2,H,46
261,,Al1.25CoCrFeNi,AC+1100C/24h/WQ,IM,B2,5.0,1,"CTE, D, R",48
262,,,AC,IM,B2,5.0,1,H,47
263,,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5.0,2,H,47
264,,Al1.5CoCrFeNi,AC,IM,B2,5.0,1,,54
265,,,AC+1100C/24h/WQ,IM,B2,5.0,1,"CTE, D, R",48
266,,,AC,IM,B2,5.0,1,H,47
267,,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5.0,2,H,47
268,,,AC,IM,B2,5.0,1,"H, D",56
269,,,AC,SS+IM,BCC+B2,5.0,2,H,46
270,,Al1.8CoCrFeNi,AC,SS+IM,BCC+B2,5.0,2,H,46
271,,Al2CoCrFeNi,AC,IM,B2,5.0,1,,54
272,,,AC,IM,B2,5.0,1,H,47
273,,,AC+1100C/24h/WQ,SS+IM,BCC+B2,5.0,2,H,47
274,,,AC+1100C/24h/WQ,IM,B2,5.0,1,"CTE, D, R",48
275,,,AC,SS+IM,BCC+B2,5.0,2,"H,D",56
276,,,AC,IM,B2,5.0,1,"MAG, VIB",29
277,,,AC,SS+IM,BCC+B2,5.0,2,H,46
278,,Al2.08CoCrFeNi,AC,SS+IM,BCC+B2,5.0,2,R,61
279,,Al2.5CoCrFeNi,AC,IM,B2,5.0,1,,54
280,,,AC,SS+IM,BCC+B2,5.0,2,"H, D",56
281,,Al3CoCrFeNi,AC,IM,B2,5.0,1,,54
282,,,AC,IM,B2,5.0,1,"H, D",56
283,AlCoCrFeNiSi,AlCoCrFeNiSi0.2,AC,SS,BCC,6.0,1,M,57
284,,AlCoCrFeNiSi0.4,AC,SS,2BCC,6.0,2,M,57
285,,AlCoCrFeNiSi0.6,AC,SS+IM,2BCC+IM,6.0,3,M,57
286,,AlCoCrFeNiSi0.8,AC,SS+IM,2BCC+IM,6.0,3,M,57
287,,AlCoCrFeNiSi,AC,SS+IM,2BCC+IM,6.0,3,M,57
288,AlCoCrFeNiTi,Al0.2Co1.5CrFeNi1.5Ti0.5,AC+1100C/4h/AC+800C/10h/AC,SS,FCC,6.0,1,"H, W",62
289,,Al0.2Co1.5CrFeNi1.5Ti,AC+1100C/4h/AC+800C/10h/AC,SS+IM,FCC+D024,6.0,2,"H, W",62
290,,Al0.3CoCrFeNiTi0.1,AC,SS,FCC,6.0,1,H,39
291,,,AC+700C/144h/WQ,SS+IM,FCC+B2,6.0,2,H,39
292,,Al0.5CoCrFeNiTi,AC,SS+IM,BCC+B2+C14,6.0,3,M,63
293,,,AC,SS+IM,BCC+FCC+B2+C14+E93,6.0,5,,64
294,,,AC+1000C/2h,SS+IM,BCC+FCC+B2+C14+E93+Unk,6.0,6,,64
295,,Al0.6CoCrFeNiTi0.4,MA+SPS,SS,2FCC+D022,6.0,3,"DSC, H, M",65
296,,AlCoCrFeNiTi0.5,AC,SS+IM,2BCC+B2,6.0,2,M,52
297,,,AC,SS,2BCC,6.0,2,M,34
298,,,AC,SS+IM,BCC+B2,6.0,2,M,66
299,,AlCoCrFeNiTi,AC,SS+IM,2BCC+B2,6.0,2,M,52
300,,,AC,SS+IM,BCC+B2+C14,6.0,3,M,63
301,,,AC,SS+IM,BCC+FCC+B2+C14+E93,6.0,5,,64
302,,,AC+1000C/2h,SS+IM,BCC+FCC+B2+C14+E93+Unk,6.0,6,,64
303,,AlCoCrFeNiTi1.5,AC,SS+IM,BCC+B2+C14,6.0,3,M,52
304,,AlCo1.5CrFeNiTi0.5,AC,SS,BCC+FCC,6.0,2,M,66
305,,AlCo2CrFeNiTi0.5,AC,SS,BCC+FCC,6.0,2,M,66
306,,AlCo3CrFeNiTi0.5,AC,SS,BCC+FCC,6.0,2,M,66
307,,Al1.5CoCrFeNiTi,AC,SS+IM,BCC+B2,6.0,2,M,63
308,,,AC,SS+IM,BCC+B2,6.0,2,,64
309,,,AC+1000C/2h,SS+IM,BCC+B2,6.0,2,,64
310,,Al2CoCrFeNiTi,AC,SS+IM,BCC+B2,6.0,2,M,63
311,,,AC,SS+IM,BCC+B2,6.0,2,,64
312,,,AC+1000C/2h,SS+IM,BCC+B2,6.0,2,,64
313,AlCoCrNiSi,Al0.43CoCr0.29NiSi0.14,AC,SS+IM,FCC+L10+L12,5.0,3,OX,50
314,,Al0.8CoCrNiSi0.2,AC,SS+IM,BCC+B2+σ,5.0,3,OX,50
315,AlCoCuFeNdNi,AlCoCuFeNdNi,AC,IM,Unk,6.0,3,,31
316,AlCoCuFeNi,AlCo0.2CuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",67
317,,AlCo0.5CuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",67
318,,AlCoCu0.5FeNi,AC,SS,BCC+FCC,5.0,2,,2
319,,AlCoCuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",67
320,,,AC,SS,BCC+FCC,5.0,2,"H, M",31
321,,AlCo1.5CuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",67
322,,AlCo2CuFeNi,AC,SS+IM,FCC+B2,5.0,2,"H, M",67
323,,AlCo3CuFeNi,AC,SS,FCC,5.0,1,"H, M",67
324,AlCoCuFeNiSi,AlCoCuFeNiSi,AC,SS,BCC+FCC,6.0,2,,31
325,AlCoCuFeNiTi,AlCoCuFeNiTi,AC,SS+IM,BCC+FCC+B2,6.0,3,,31
326,,,AC,SS,BCC+FCC,6.0,2,,68
